Location,RL,Date,Species ,Pass,PassTime,Count,TL,FL,W,Tag,Recap,Biop,Mortality,StreamW,Depletion
Buffalo,294,10-Oct-25,WCT,2,,1,,57,1.7,,,,,1.5,2
Pintler,205,7-Jul-25,WCT,1,1456,1,,54,1.7,,,,,5.9,1
Pintler,205,7-Jul-25,WCT,1,1456,1,,55,1.7,,,,,5.9,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,56,1.7,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,3,2028,1,,53,1.7,,,,,1.5,1
Cow,250,27-Sep-25,WCT,1,,1,,55,1.8,,,,,7.2,2
CCT,261,9-Sep-25,WCT,2,,1,,56,1.8,,,,,1.8,2
CCT,261,9-Sep-25,WCT,1,,1,,57,1.8,,,,,1.8,2
Cow,250,27-Sep-25,WCT,1,,1,,59,1.8,,,,,7.2,2
Buffalo,294,10-Oct-25,WCT,3,,1,,61,1.8,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,61,1.8,,,,,1.5,2
Buffalo,294,15-Jul-25,WCT,1,,1,,54,1.8,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,53,1.8,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,55,1.8,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,56,1.8,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,3,2028,1,,53,1.8,,,,,1.5,1
CCT,261,9-Sep-25,WCT,1,,1,,58,1.9,,,,,1.8,2
Buffalo,294,10-Oct-25,WCT,3,,1,,58,1.9,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,58,1.9,,,,,1.5,2
CCT,261,9-Sep-25,WCT,1,,1,,59,1.9,,,,,1.8,2
CCT,261,9-Sep-25,WCT,1,,1,,60,1.9,,,,,1.8,2
Pintler,205,7-Jul-25,WCT,3,1220,1,,55,1.9,,,,,5.9,1
Buffalo,294,15-Jul-25,WCT,1,,1,,54,1.9,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,1,,1,,58,1.9,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,52,1.9,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,57,1.9,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,3,2028,1,,57,1.9,,,,,1.5,1
Jerry,250,4-Aug-25,WCT,1,,1,,58,1.9,,,,,2.25,1
Cow,250,27-Sep-25,WCT,1,,1,,56,2,,,,,7.2,2
Cow,250,27-Sep-25,WCT,1,,1,,89,2,688049,,,,7.2,2
CCT,261,9-Sep-25,WCT,1,,1,,61,2.1,,,,,1.8,2
CCT,261,1-Jul-25,WCT,1,1457,1,56,53,2.1,,,,,1.8,1
Buffalo,294,15-Jul-25,WCT,1,,1,,54,2.1,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,65,2.1,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,3,2028,1,,59,2.1,,,,,1.5,1
Cow,250,27-Sep-25,WCT,1,,1,,63,2.2,,,,,7.2,2
Pintler,205,7-Jul-25,WCT,2,1282,1,,61,2.2,,,,,5.9,1
Buffalo,294,15-Jul-25,WCT,1,,1,,58,2.2,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,1,,1,,59,2.2,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,59,2.2,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,64,2.2,,,,,1.5,1
Jerry,250,4-Aug-25,WCT,1,,1,,64,2.2,,,,,2.25,1
CCT,261,9-Sep-25,WCT,1,,1,,60,2.3,,,,,1.8,2
Buffalo,294,10-Oct-25,WCT,2,,1,,61,2.3,,,,,1.5,2
Buffalo,294,15-Jul-25,WCT,1,,1,,60,2.3,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,59,2.3,,,,,1.5,1
Buffalo,294,10-Oct-25,WCT,2,,1,,64,2.4,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,64,2.4,,,,,1.5,2
Pintler,205,7-Jul-25,WCT,1,1456,1,,60,2.4,,,,,5.9,1
Buffalo,294,15-Jul-25,WCT,1,,1,,63,2.4,,,,,1.5,1
Jerry,250,4-Aug-25,WCT,3,,1,,63,2.4,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,3,,1,,73,2.4,,,,,2.25,1
CCT,261,9-Sep-25,WCT,2,,1,,62,2.5,,,,,1.8,2
CCT,261,9-Sep-25,WCT,1,,1,,64,2.5,,,,,1.8,2
Buffalo,294,15-Jul-25,WCT,1,,1,,61,2.5,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,1,,1,,62,2.5,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,60,2.5,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,63,2.5,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,3,2028,1,,61,2.5,,,,,1.5,1
Buffalo,294,10-Oct-25,WCT,1,,1,,65,2.6,,,,,1.5,2
Buffalo,294,15-Jul-25,WCT,2,2951,1,,60,2.6,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,62,2.6,,,,,1.5,1
Jerry,250,4-Aug-25,WCT,1,,1,,65,2.6,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,2,,1,,65,2.6,,,,,2.25,1
Buffalo,294,10-Oct-25,WCT,2,,1,,61,2.7,,,,,1.5,2
Plimpton,236,3-Oct-25,WCT,1,,1,,62,2.7,,,,,3.3,2
Buffalo,294,10-Oct-25,WCT,1,,1,,64,2.7,,,,,1.5,2
Jerry,250,9-Oct-25,WCT,1,,1,,65,2.7,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,2,,1,,65,2.7,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,66,2.7,,,,,1.5,2
CLT,251,25-Sep-25,WCT,1,,1,,67,2.7,,,,,4.15,2
Buffalo,294,10-Oct-25,WCT,3,,1,,68,2.7,,,,,1.5,2
Buffalo,294,15-Jul-25,WCT,2,2951,1,,64,2.7,,,,,1.5,1
Jerry,250,4-Aug-25,WCT,1,,1,,66,2.7,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,3,,1,,64,2.7,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,3,,1,,66,2.7,,,,,2.25,1
Jerry,250,9-Oct-25,WCT,1,,1,,66,2.8,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,1,,1,,66,2.8,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,66,2.8,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,2,,1,,67,2.8,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,67,2.8,,,,,1.5,2
CLT,251,25-Sep-25,WCT,2,,1,,69,2.8,,,,,4.15,2
Plimpton,236,3-Oct-25,WCT,1,,1,,65,2.9,,,,,3.3,2
Cow,250,27-Sep-25,WCT,1,,1,,66,2.9,,,,,7.2,2
Buffalo,294,10-Oct-25,WCT,1,,1,,68,2.9,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,68,2.9,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,69,2.9,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,70,2.9,,,,,1.5,2
Cow,250,27-Sep-25,WCT,1,,1,,94,2.9,687948,,,,7.2,2
Cow,295,2-Jul-25,WCT,1,,1,,66,2.9,,,,,7.2,1
Buffalo,294,15-Jul-25,WCT,1,,1,,64,2.9,,,,,1.5,1
Jerry,250,4-Aug-25,WCT,1,,1,,67,2.9,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,2,,1,,67,2.9,,,,mort,2.25,1
Jerry,250,4-Aug-25,WCT,3,,1,,76,2.9,,,,,2.25,1
Buffalo,294,10-Oct-25,WCT,1,,1,,67,3,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,2,,1,,68,3,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,2,,1,,69,3,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,69,3,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,3,,1,,70,3,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,2,,1,,71,3,,,,,1.5,2
Plimpton,236,3-Oct-25,WCT,2,,1,,76,3,,,,,3.3,2
Buffalo,294,10-Oct-25,WCT,1,,1,,76,3,,,,,1.5,2
Cow,295,2-Jul-25,WCT,1,,1,,68,3,,,,,7.2,1
Cow,295,2-Jul-25,WCT,3,,1,,68,3,,,,,7.2,1
Plimpton,236,8-Jul-25,WCT,1,,1,,64,3,,,,mort,3.3,1
Jerry,250,4-Aug-25,WCT,1,,1,,67,3,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,1,,1,,68,3,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,1,,1,,67,3,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,1,,1,,76,3,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,3,,1,,69,3,,,,,2.25,1
CLT,251,25-Sep-25,WCT,1,,1,,66,3.1,,,,,4.15,2
Plimpton,236,8-Jul-25,WCT,1,,1,,64,3.1,,,,,3.3,1
Jerry,250,4-Aug-25,WCT,1,,1,,68,3.1,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,2,,1,,68,3.1,,,,,2.25,1
Plimpton,236,3-Oct-25,WCT,1,,1,,64,3.2,,,,,3.3,2
Buffalo,294,10-Oct-25,WCT,2,,1,,67,3.2,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,2,,1,,68,3.2,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,2,,1,,69,3.2,,,,,1.5,2
Dry,210,4-Oct-25,WCT,1,,1,,72,3.2,,,,,3.3,2
CLT,251,30-Jun-25,WCT,2,1971,1,70,66,3.2,,,,,4.15,1
CCT,261,1-Jul-25,WCT,1,1457,1,70,67,3.2,,,,,1.8,1
Jerry,250,4-Aug-25,WCT,1,,1,,79,3.2,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,1,,1,,68,3.2,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,2,,1,,69,3.2,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,2,,1,,68,3.2,,,,,2.25,1
Plimpton,236,3-Oct-25,WCT,1,,1,,69,3.3,,,,,3.3,2
Buffalo,294,10-Oct-25,WCT,1,,1,,69,3.3,,,,,1.5,2
Jerry,250,9-Oct-25,WCT,1,,1,,70,3.3,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,1,,1,,70,3.3,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,70,3.3,,,,,1.5,2
CLT,251,25-Sep-25,WCT,2,,1,,71,3.3,,,,,4.15,2
Jerry,250,9-Oct-25,WCT,1,,1,,73,3.3,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,3,,1,,73,3.3,,,,,1.5,2
Cow,295,2-Jul-25,WCT,1,,1,,68,3.3,,,,,7.2,1
Jerry,250,4-Aug-25,WCT,1,,1,,69,3.3,,,,,2.25,1
CLT,251,25-Sep-25,WCT,1,,1,,66,3.4,,,,,4.15,2
Buffalo,294,10-Oct-25,WCT,1,,1,,69,3.4,,,,,1.5,2
CLT,251,25-Sep-25,WCT,2,,1,,70,3.4,,,,,4.15,2
Jerry,250,9-Oct-25,WCT,2,,1,,72,3.4,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,1,,1,,72,3.4,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,73,3.4,,,,,1.5,2
CCT,261,1-Jul-25,WCT,1,1457,1,70,67,3.4,,,,,1.8,1
CCT,261,1-Jul-25,WCT,2,1594,1,,67,3.4,,,,,1.8,1
Buffalo,294,10-Oct-25,WCT,2,,1,,69,3.5,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,3,,1,,70,3.5,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,71,3.5,,,,,1.5,2
Jerry,250,9-Oct-25,WCT,3,,1,,72,3.5,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,1,,1,,72,3.5,,,,,1.5,2
Dry,210,4-Oct-25,WCT,1,,1,,73,3.5,,,,,3.3,2
Jerry,250,9-Oct-25,WCT,1,,1,,73,3.5,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,2,,1,,73,3.5,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,73,3.5,,,,,1.5,2
Cow,295,2-Jul-25,WCT,1,,1,,71,3.5,,,,,7.2,1
Cow,295,2-Jul-25,WCT,1,,1,,71,3.5,,,,,7.2,1
Buffalo,294,15-Jul-25,WCT,1,,1,,70,3.5,,,,,1.5,1
Jerry,250,4-Aug-25,WCT,1,,1,,71,3.5,,,,,2.25,1
Jerry,250,4-Aug-25,WCT,1,,1,,72,3.5,,,,,2.25,1
Buffalo,294,10-Oct-25,WCT,3,,1,,71,3.6,,,,,1.5,2
Jerry,250,9-Oct-25,WCT,1,,1,,72,3.6,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,2,,1,,72,3.6,,,,,1.5,2
Jerry,250,9-Oct-25,WCT,1,,1,,73,3.6,,,,,2.25,2
Jerry,250,9-Oct-25,WCT,1,,1,,73,3.6,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,2,,1,,74,3.6,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,74,3.6,,,,,1.5,2
CLT,251,30-Jun-25,WCT,1,3260,1,75,71,3.6,,,,,4.15,1
CCT,261,1-Jul-25,WCT,1,1457,1,73,71,3.6,,,,,1.8,1
Buffalo,294,10-Oct-25,WCT,1,,1,,73,3.7,,,,,1.5,2
Jerry,250,4-Aug-25,WCT,3,,1,,73,3.7,,,,,2.25,1
Buffalo,294,10-Oct-25,WCT,2,,1,,71,3.8,,,,,1.5,2
CLT,251,25-Sep-25,WCT,1,,1,,72,3.8,,,,,4.15,2
Pintler,205,2-Oct-25,WCT,1,,1,,73,3.8,,,,,5.9,2
Buffalo,294,10-Oct-25,WCT,3,,1,,73,3.8,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,75,3.8,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,75,3.8,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,75,3.8,,,,,1.5,2
CCT,261,1-Jul-25,WCT,3,1352,1,,68,3.8,,,,,1.8,1
Cow,295,2-Jul-25,WCT,2,,1,,71,3.8,,,,,7.2,1
Cow,295,2-Jul-25,WCT,3,,1,,74,3.8,,,,,7.2,1
Plimpton,236,8-Jul-25,WCT,1,,1,,69,3.8,,,,,3.3,1
Jerry,250,4-Aug-25,WCT,1,,1,,73,3.8,,,,,2.25,1
Buffalo,294,10-Oct-25,WCT,1,,1,,71,3.9,,,,,1.5,2
Plimpton,236,3-Oct-25,WCT,1,,1,,72,3.9,,,,,3.3,2
Jerry,250,9-Oct-25,WCT,1,,1,,74,3.9,,,,,2.25,2
CLT,251,25-Sep-25,WCT,3,,1,,75,3.9,,,,,4.15,2
Plimpton,236,3-Oct-25,WCT,1,,1,,75,3.9,,,,,3.3,2
Jerry,250,9-Oct-25,WCT,1,,1,,75,3.9,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,2,,1,,78,3.9,,,,,1.5,2
CCT,261,1-Jul-25,WCT,1,1457,1,73,71,3.9,,,,,1.8,1
CCT,261,1-Jul-25,WCT,2,1594,1,,75,3.9,,,,,1.8,1
Jerry,250,4-Aug-25,WCT,1,,1,,73,3.9,,,,,2.25,1
Buffalo,294,10-Oct-25,WCT,2,,1,,72,4,,,,,1.5,2
Jerry,250,9-Oct-25,WCT,3,,1,,74,4,,,,,2.25,2
Jerry,250,9-Oct-25,WCT,1,,1,,74,4,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,2,,1,,74,4,,,,,1.5,2
CLT,251,25-Sep-25,WCT,1,,1,,75,4,,,,,4.15,2
Buffalo,294,10-Oct-25,WCT,2,,1,,75,4,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,75,4,,,,,1.5,2
CLT,251,25-Sep-25,WCT,2,,1,,76,4,,,,,4.15,2
Jerry,250,9-Oct-25,WCT,1,,1,,76,4,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,1,,1,,76,4,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,76,4,,,,,1.5,2
Jerry,250,9-Oct-25,WCT,1,,1,,77,4,,,,,2.25,2
CLT,251,25-Sep-25,WCT,1,,1,,103,4,687891,,,,4.15,2
CCT,261,1-Jul-25,WCT,3,1352,1,,70,4,,,,,1.8,1
Cow,295,2-Jul-25,WCT,1,,1,,72,4,,,,,7.2,1
Cow,295,2-Jul-25,WCT,1,,1,,72,4,,,,,7.2,1
Jerry,250,4-Aug-25,WCT,1,,1,,73,4,,,,,2.25,1
Buffalo,294,10-Oct-25,WCT,1,,1,,75,4.1,,,,,1.5,2
Jerry,250,9-Oct-25,WCT,1,,1,,77,4.1,,,,,2.25,2
Dry,210,4-Oct-25,WCT,1,,1,,79,4.1,,,,,3.3,2
Cow,250,27-Sep-25,WCT,1,,1,,80,4.1,,,,,7.2,2
CCT,261,1-Jul-25,WCT,1,1457,1,73,71,4.1,,,,,1.8,1
Plimpton,236,8-Jul-25,WCT,2,2196,1,,73,4.1,,,,,3.3,1
Jerry,250,4-Aug-25,WCT,1,,1,,75,4.1,,,,,2.25,1
CLT,251,25-Sep-25,WCT,1,,1,,75,4.2,,,,,4.15,2
