Stream,P_gross_median,P_gross_lo50,P_gross_hi50,P_gross_lo95,P_gross_hi95,P_struct_median,P_struct_lo50,P_struct_hi50,P_struct_lo95,P_struct_hi95,R_median,R_lo50,R_hi50,R_lo95,R_hi95,C_median,C_lo50,C_hi50,C_lo95,C_hi95,date_d1,date_d2,days,PR_median,PR_lo95,PR_hi95
CCT,0.32778996758253004,0.3086514100199369,0.35011391536912817,0.27678049948364936,0.4090080053615759,0.48492718207333574,0.4585435789459175,0.5151814267920376,0.4136788505936347,0.5932957195824068,0.04485870562122712,0.04212331626665131,0.04800357412312507,0.037607011413775406,0.05666210266175251,0.1011312807715441,0.09423137014714794,0.10892038271052643,0.08340209139951094,0.13072919457856508,2025-07-01,2025-09-09,70,7.304794428939367,7.1693246093538665,7.435441884531889
Buffalo,0.09548376683218229,0.0876124510674292,0.10529352182560324,0.07602932635903518,0.1316584135617108,0.19184701761291095,0.18004068075536467,0.20551702680829081,0.1620363474479387,0.2410397796415991,0.036031808817021435,0.033292830570013116,0.039494068063078244,0.029259148723809157,0.04890480613785277,0.077269963389299,0.07056203856713954,0.085680144521182,0.06098021593617366,0.109413263429064,2025-07-15,2025-10-10,87,2.65166978905678,2.5407297643206372,2.7417504384363838
Cow,0.03151833163726078,0.029012878604722417,0.03458357536454837,0.024955136663021082,0.04321927865981488,0.09082379523629641,0.0856252875610101,0.0970989886853596,0.07695932689599924,0.11586809501755023,0.016874610291236727,0.015782235491817335,0.018231826210762952,0.014016042997061638,0.022232159707920442,0.028904487111738823,0.02694918126990605,0.03139173239944899,0.02382272598552869,0.03847794288263075,2025-07-02,2025-09-27,87,1.8702667270623463,1.7154921012224444,2.005041719413845
CLT,0.022798796691500457,0.020714400210443993,0.02518515264064848,0.017500299560294502,0.031401280683572834,0.03601000965373649,0.03287111557685798,0.039548801734141506,0.02789283666777544,0.048776463043019885,0.0064754966695079914,0.005879630624175856,0.007163941734890148,0.004957648076356679,0.008958950297220308,0.013074215529877227,0.01179631468354288,0.014595007663814275,0.009879410287506251,0.018519298219277423,2025-06-30,2025-09-25,87,3.5220825165832244,3.425545475529055,3.6049336991816374
Dry,0.021886713095496096,0.020173798552519398,0.02391852587904763,0.017502801332400834,0.02865877207784348,0.0430266100987312,0.039696301134981946,0.046870062107817405,0.034687206215126255,0.05541698988141761,0.003713366042384701,0.0034236631648499848,0.004051911616477317,0.0029747125047621488,0.004843596215095307,0.007179569966596501,0.006538940684505226,0.007927021558883245,0.005607186414281645,0.00985679293753013,2025-07-09,2025-10-04,87,5.906459007592238,5.640447450649424,6.1366216443193204
Plimpton,0.004110515190904496,0.0037066690817628284,0.004599641930753847,0.0031188426504417744,0.005777559789058967,0.018242512217857894,0.01699956766498084,0.019723253303747343,0.015084559374350152,0.022806055999021625,0.005946431163308286,0.005515549707492252,0.006449463529603644,0.004858882863645989,0.007575694018995962,0.009488558051286334,0.008772673817611917,0.010325630619594956,0.007705104830844519,0.012275082620556642,2025-07-08,2025-10-03,87,0.6955539114240097,0.5885582569887297,0.8020386508130165
Jerry,0.0029837517451026295,0.0027816253114823835,0.0032164029614537974,0.00245994236333858,0.0037712158083871646,0.03783365497674163,0.03663073500331769,0.03918197812985547,0.03478456062050664,0.04214199041250945,0.02110068762896075,0.02043531454781935,0.021870275988669707,0.01939916986776319,0.023535156295964445,0.030589422473832374,0.029603379954323952,0.03173019302734515,0.02808599572849214,0.03426960458914187,2025-08-04,2025-10-09,66,0.14159489061887845,0.11905567817745945,0.16803085565857986
